codigo,descripcion,peso_bruto,volumen,pais_origen,codigo_viaje
M000001771,Productos quimicos no peligrosos,10747,47,Colombia,V000001506
M000001772,Maquinaria industrial pesada,26727,47,Noruega,V000007133
M000001773,Productos quimicos no peligrosos,20013,81,Colombia,V000004602
M000001774,Frutas y alimentos refrigerados,36127,101,Bahamas,V000008733
M000001775,Frutas y alimentos refrigerados,38794,139,Japon,V000009864
M000001776,Contenedor con productos electronicos,21825,103,China,V000001939
M000001777,Materiales de construccion,49731,140,Panama,V000008413
M000001778,Acero laminado en bobinas,49423,149,Bahamas,V000001057
M000001779,Productos quimicos no peligrosos,2492,41,Brasil,V000003125
M000001780,Piezas de repuesto automotrices,36662,124,Brasil,V000000995
M000001781,Productos quimicos no peligrosos,22167,87,Bahamas,V000002789
M000001782,Productos quimicos no peligrosos,28261,185,Japon,V000006730
M000001783,Cafe de exportacion,37370,23,Alemania,V000003960
M000001784,Contenedor con productos electronicos,6059,156,Dinamarca,V000005783
M000001785,Maquinaria industrial pesada,39244,177,Singapur,V000005499
M000001786,Productos textiles y confecciones,47182,135,Japon,V000003193
M000001787,Piezas de repuesto automotrices,25906,110,China,V000006528
M000001788,Productos quimicos no peligrosos,23704,185,Colombia,V000004770
M000001789,Contenedor con productos electronicos,8874,145,Brasil,V000005102
M000001790,Frutas y alimentos refrigerados,39293,148,Alemania,V000000809
M000001791,Contenedor con productos electronicos,49410,182,Colombia,V000006819
M000001792,Acero laminado en bobinas,40511,17,Bahamas,V000007761
M000001793,Materiales de construccion,19123,180,Hong Kong,V000000341
M000001794,Cafe de exportacion,45564,172,Brasil,V000007062
M000001795,Cafe de exportacion,2616,177,China,V000004187
M000001796,Frutas y alimentos refrigerados,19668,67,Brasil,V000007530
M000001797,Piezas de repuesto automotrices,15859,156,Alemania,V000008907
M000001798,Frutas y alimentos refrigerados,13399,40,Reino Unido,V000007810
M000001799,Maquinaria industrial pesada,29603,185,Mexico,V000007636
M000001800,Acero laminado en bobinas,17277,66,Mexico,V000004639
M000001801,Cafe de exportacion,1556,150,Estados Unidos,V000004806
M000001802,Contenedor con productos electronicos,20053,92,Dinamarca,V000002626
M000001803,Contenedor con productos electronicos,43329,145,Panama,V000001650
M000001804,Materiales de construccion,26460,157,Ecuador,V000002490
M000001805,Materiales de construccion,1528,9,Espana,V000000756
M000001806,Acero laminado en bobinas,17663,136,Grecia,V000000311
M000001807,Piezas de repuesto automotrices,28145,52,Colombia,V000009298
M000001808,Piezas de repuesto automotrices,30942,161,Alemania,V000001303
M000001809,Contenedor con productos electronicos,23904,23,Brasil,V000007356
M000001810,Maquinaria industrial pesada,42953,19,Grecia,V000008009
M000001811,Acero laminado en bobinas,5543,105,Chile,V000001391
M000001812,Contenedor con productos electronicos,12404,174,Dinamarca,V000008502
M000001813,Productos textiles y confecciones,9103,52,Liberia,V000003611
M000001814,Piezas de repuesto automotrices,13224,148,Hong Kong,V000003529
M000001815,Cafe de exportacion,8048,84,Dinamarca,V000009443
M000001816,Carga de granel de trigo,1511,19,Bahamas,V000006963
M000001817,Contenedor con productos electronicos,10573,86,Islas Marshall,V000009359
M000001818,Carga de granel de trigo,4333,191,Panama,V000004457
M000001819,Frutas y alimentos refrigerados,13948,69,Colombia,V000003099
M000001820,Productos textiles y confecciones,30201,135,Hong Kong,V000009458
M000001821,Cafe de exportacion,29479,110,Liberia,V000006931
M000001822,Productos textiles y confecciones,19088,71,China,V000005164
M000001823,Acero laminado en bobinas,28344,151,Peru,V000005244
M000001824,Productos quimicos no peligrosos,36631,156,Brasil,V000006096
M000001825,Materiales de construccion,15218,34,Panama,V000005731
M000001826,Productos quimicos no peligrosos,31535,126,Hong Kong,V000001198
M000001827,Acero laminado en bobinas,31976,187,Bahamas,V000002769
M000001828,Contenedor con productos electronicos,32446,52,Dinamarca,V000005408
M000001829,Maquinaria industrial pesada,41146,171,China,V000000555
M000001830,Productos textiles y confecciones,5596,95,Singapur,V000003877
M000001831,Productos textiles y confecciones,15390,141,Japon,V000008370
M000001832,Maquinaria industrial pesada,19220,56,Reino Unido,V000008137
M000001833,Materiales de construccion,17897,81,Chile,V000004479
M000001834,Carga de granel de trigo,21655,55,Espana,V000007123
M000001835,Acero laminado en bobinas,10905,107,China,V000008550
M000001836,Frutas y alimentos refrigerados,31188,50,Bahamas,V000008696
M000001837,Frutas y alimentos refrigerados,3536,175,Singapur,V000000447
M000001838,Productos textiles y confecciones,4245,198,Peru,V000006442
M000001839,Productos textiles y confecciones,35561,67,Dinamarca,V000001905
M000001840,Carga de granel de trigo,26697,104,Noruega,V000005745
M000001841,Materiales de construccion,24253,93,Colombia,V000005562
M000001842,Productos textiles y confecciones,40113,60,Malta,V000002610
M000001843,Piezas de repuesto automotrices,36472,183,Bahamas,V000002047
M000001844,Acero laminado en bobinas,42633,21,Estados Unidos,V000001537
M000001845,Piezas de repuesto automotrices,4294,181,Panama,V000001625
M000001846,Frutas y alimentos refrigerados,3078,83,Brasil,V000007269
M000001847,Cafe de exportacion,16017,192,Singapur,V000005387
M000001848,Acero laminado en bobinas,44027,179,Hong Kong,V000007738
M000001849,Productos textiles y confecciones,45232,89,Reino Unido,V000001529
M000001850,Materiales de construccion,31364,59,Alemania,V000007175
M000001851,Cafe de exportacion,17906,110,Colombia,V000009005
M000001852,Maquinaria industrial pesada,36929,21,Malta,V000008168
M000001853,Materiales de construccion,32984,100,Noruega,V000000896
M000001854,Contenedor con productos electronicos,18612,192,Peru,V000001072
M000001855,Acero laminado en bobinas,34412,145,Brasil,V000009209
M000001856,Frutas y alimentos refrigerados,38534,146,Espana,V000006807
M000001857,Productos textiles y confecciones,4706,182,Alemania,V000002528
M000001858,Acero laminado en bobinas,22289,66,China,V000003147
M000001859,Acero laminado en bobinas,23236,102,Estados Unidos,V000000504
M000001860,Productos textiles y confecciones,28071,133,Panama,V000002151
M000001861,Contenedor con productos electronicos,11398,195,Chile,V000000070
M000001862,Carga de granel de trigo,46158,158,Malta,V000005799
M000001863,Productos textiles y confecciones,37146,8,Colombia,V000005589
M000001864,Maquinaria industrial pesada,14417,129,Islas Marshall,V000006431
M000001865,Frutas y alimentos refrigerados,8278,118,Japon,V000002810
M000001866,Frutas y alimentos refrigerados,41546,110,Bahamas,V000004185
M000001867,Maquinaria industrial pesada,17179,135,Mexico,V000003723
M000001868,Cafe de exportacion,14091,47,Singapur,V000003807
M000001869,Productos textiles y confecciones,42214,112,Reino Unido,V000004375
M000001870,Productos quimicos no peligrosos,32804,84,Islas Marshall,V000003856
M000001871,Contenedor con productos electronicos,48696,151,Mexico,V000005140
M000001872,Cafe de exportacion,28941,85,Japon,V000000242
M000001873,Contenedor con productos electronicos,18995,156,Panama,V000007559
M000001874,Materiales de construccion,27303,135,Panama,V000000434
M000001875,Carga de granel de trigo,438,186,Panama,V000009396
M000001876,Productos textiles y confecciones,43876,160,Alemania,V000008113
M000001877,Piezas de repuesto automotrices,45208,120,Colombia,V000007582
M000001878,Carga de granel de trigo,47041,12,Dinamarca,V000004725
M000001879,Piezas de repuesto automotrices,1030,123,Peru,V000004679
M000001880,Piezas de repuesto automotrices,7195,74,Chile,V000004890
M000001881,Maquinaria industrial pesada,23695,179,Espana,V000002707
M000001882,Piezas de repuesto automotrices,36870,177,Noruega,V000003751
M000001883,Contenedor con productos electronicos,17861,101,Liberia,V000009688
M000001884,Productos quimicos no peligrosos,33978,145,Singapur,V000004347
M000001885,Productos quimicos no peligrosos,31715,108,Malta,V000009059
M000001886,Contenedor con productos electronicos,43028,171,Japon,V000007930
M000001887,Cafe de exportacion,43518,152,Japon,V000006258
M000001888,Cafe de exportacion,38947,59,Dinamarca,V000009348
M000001889,Contenedor con productos electronicos,47391,49,Ecuador,V000000075
M000001890,Productos quimicos no peligrosos,17098,146,Mexico,V000004489
M000001891,Acero laminado en bobinas,46304,51,Panama,V000003158
M000001892,Frutas y alimentos refrigerados,21445,183,Espana,V000002816
M000001893,Piezas de repuesto automotrices,36513,98,Estados Unidos,V000001045
M000001894,Carga de granel de trigo,37748,116,Bahamas,V000003508
M000001895,Piezas de repuesto automotrices,46605,76,Noruega,V000001181
M000001896,Piezas de repuesto automotrices,646,115,China,V000000216
M000001897,Productos textiles y confecciones,16381,32,Colombia,V000004012
M000001898,Frutas y alimentos refrigerados,32037,116,Chile,V000006642
M000001899,Productos textiles y confecciones,8176,41,Chile,V000000176
M000001900,Productos quimicos no peligrosos,46393,129,Peru,V000006563
M000001901,Contenedor con productos electronicos,38479,7,Chile,V000000688
M000001902,Piezas de repuesto automotrices,18443,181,China,V000006588
M000001903,Acero laminado en bobinas,12129,102,Liberia,V000003080
M000001904,Piezas de repuesto automotrices,13508,23,Grecia,V000008560
M000001905,Cafe de exportacion,8342,4,Espana,V000008218
M000001906,Materiales de construccion,44863,145,Dinamarca,V000008279
M000001907,Productos textiles y confecciones,36593,82,Reino Unido,V000000608
M000001908,Productos quimicos no peligrosos,6200,132,Mexico,V000007104
M000001909,Contenedor con productos electronicos,7050,4,Mexico,V000000010
M000001910,Contenedor con productos electronicos,7308,34,Bahamas,V000005947
M000001911,Piezas de repuesto automotrices,13959,199,Japon,V000000241
M000001912,Contenedor con productos electronicos,32699,123,Liberia,V000007908
M000001913,Contenedor con productos electronicos,31033,61,Espana,V000001389
M000001914,Acero laminado en bobinas,30002,23,Liberia,V000000761
M000001915,Materiales de construccion,26416,13,Bahamas,V000006232
M000001916,Carga de granel de trigo,18659,152,China,V000009162
M000001917,Productos quimicos no peligrosos,29190,53,Colombia,V000004503
M000001918,Carga de granel de trigo,11813,157,Noruega,V000009901
M000001919,Productos textiles y confecciones,40932,66,Dinamarca,V000002223
M000001920,Materiales de construccion,39045,64,Estados Unidos,V000003315
M000001921,Cafe de exportacion,44073,46,Colombia,V000000426
M000001922,Materiales de construccion,2581,75,Alemania,V000003306
M000001923,Piezas de repuesto automotrices,46039,55,Bahamas,V000001085
M000001924,Frutas y alimentos refrigerados,12309,135,China,V000001562
M000001925,Productos quimicos no peligrosos,29597,60,Colombia,V000001284
M000001926,Piezas de repuesto automotrices,6063,44,Japon,V000000043
M000001927,Acero laminado en bobinas,8601,110,Dinamarca,V000002344
M000001928,Contenedor con productos electronicos,48123,21,Grecia,V000000506
M000001929,Productos quimicos no peligrosos,8297,43,Espana,V000003999
M000001930,Productos quimicos no peligrosos,5916,66,China,V000006780
M000001931,Acero laminado en bobinas,44594,112,Chile,V000004551
M000001932,Contenedor con productos electronicos,7292,73,Panama,V000001894
M000001933,Acero laminado en bobinas,25601,119,Japon,V000004675
M000001934,Piezas de repuesto automotrices,30919,112,Panama,V000002655
M000001935,Carga de granel de trigo,21671,69,Dinamarca,V000002993
M000001936,Acero laminado en bobinas,3453,108,Hong Kong,V000001423
M000001937,Productos textiles y confecciones,7012,193,Grecia,V000001286
M000001938,Carga de granel de trigo,45775,174,Hong Kong,V000002951
M000001939,Productos textiles y confecciones,34589,49,Colombia,V000006882
M000001940,Productos textiles y confecciones,33425,169,Liberia,V000002677
M000001941,Frutas y alimentos refrigerados,46423,45,Colombia,V000003259
M000001942,Materiales de construccion,46585,192,Liberia,V000005520
M000001943,Piezas de repuesto automotrices,38649,42,Brasil,V000003003
M000001944,Frutas y alimentos refrigerados,852,61,Peru,V000008638
M000001945,Productos textiles y confecciones,33851,28,Brasil,V000008840
M000001946,Cafe de exportacion,41530,106,Noruega,V000009857
M000001947,Frutas y alimentos refrigerados,13498,27,Dinamarca,V000007535
M000001948,Maquinaria industrial pesada,10580,86,Brasil,V000008601
M000001949,Materiales de construccion,17375,154,Ecuador,V000004999
M000001950,Frutas y alimentos refrigerados,6380,194,Peru,V000008243
M000001951,Maquinaria industrial pesada,5834,10,Brasil,V000002189
M000001952,Cafe de exportacion,44187,191,Bahamas,V000004936
M000001953,Piezas de repuesto automotrices,35725,123,Grecia,V000001800
M000001954,Maquinaria industrial pesada,46100,185,Dinamarca,V000000908
M000001955,Carga de granel de trigo,29972,1,Peru,V000002609
M000001956,Acero laminado en bobinas,31040,161,Panama,V000003086
M000001957,Cafe de exportacion,48426,193,Espana,V000006193
M000001958,Cafe de exportacion,48653,83,Bahamas,V000003130
M000001959,Maquinaria industrial pesada,34574,193,Islas Marshall,V000005812
M000001960,Productos textiles y confecciones,7690,17,Reino Unido,V000005238
M000001961,Maquinaria industrial pesada,18645,183,Malta,V000009479
M000001962,Cafe de exportacion,1243,46,Grecia,V000003805
M000001963,Acero laminado en bobinas,171,177,Ecuador,V000001993
M000001964,Maquinaria industrial pesada,39341,188,Noruega,V000000941
M000001965,Maquinaria industrial pesada,42354,21,Noruega,V000005394
M000001966,Productos textiles y confecciones,31199,85,Brasil,V000001708
M000001967,Piezas de repuesto automotrices,7817,82,Panama,V000003011
M000001968,Cafe de exportacion,45361,92,Chile,V000000038
M000001969,Maquinaria industrial pesada,30762,170,Espana,V000001965
M000001970,Materiales de construccion,10542,73,Brasil,V000003801
M000001971,Productos quimicos no peligrosos,8418,55,Grecia,V000000629
M000001972,Cafe de exportacion,31507,97,Bahamas,V000008990
M000001973,Cafe de exportacion,24544,162,Japon,V000007256
M000001974,Productos textiles y confecciones,28862,199,Panama,V000000887
M000001975,Cafe de exportacion,40984,143,Hong Kong,V000001677
M000001976,Productos quimicos no peligrosos,19980,21,Malta,V000008011
M000001977,Contenedor con productos electronicos,31841,134,Bahamas,V000006386
M000001978,Frutas y alimentos refrigerados,1209,28,Alemania,V000000540
M000001979,Materiales de construccion,36838,11,Dinamarca,V000002316
M000001980,Materiales de construccion,27100,17,Grecia,V000001459
M000001981,Piezas de repuesto automotrices,28872,58,Liberia,V000006424
M000001982,Frutas y alimentos refrigerados,31575,146,China,V000004179
M000001983,Carga de granel de trigo,49554,79,Brasil,V000001650
M000001984,Frutas y alimentos refrigerados,43590,159,Hong Kong,V000006850
M000001985,Piezas de repuesto automotrices,25759,93,Colombia,V000005373
M000001986,Maquinaria industrial pesada,23708,155,Liberia,V000000132
M000001987,Carga de granel de trigo,1043,125,Noruega,V000005089
M000001988,Frutas y alimentos refrigerados,397,87,Colombia,V000009148
M000001989,Frutas y alimentos refrigerados,40203,12,Dinamarca,V000004043
M000001990,Maquinaria industrial pesada,7301,41,Peru,V000007147
M000001991,Contenedor con productos electronicos,47761,54,Brasil,V000001221
M000001992,Cafe de exportacion,3990,198,Reino Unido,V000001090
M000001993,Carga de granel de trigo,34769,149,Hong Kong,V000001890
M000001994,Piezas de repuesto automotrices,5535,52,Bahamas,V000000945
M000001995,Acero laminado en bobinas,6665,37,Hong Kong,V000009603
M000001996,Contenedor con productos electronicos,8780,84,Reino Unido,V000009359
M000001997,Productos textiles y confecciones,19996,75,Colombia,V000007575
M000001998,Productos textiles y confecciones,14435,36,Panama,V000001469
M000001999,Productos textiles y confecciones,13729,143,Mexico,V000006910
M000002000,Acero laminado en bobinas,28004,116,Reino Unido,V000009287
M000002001,Maquinaria industrial pesada,29748,20,Panama,V000004147
M000002002,Maquinaria industrial pesada,3875,154,Dinamarca,V000008170
M000002003,Productos textiles y confecciones,20996,17,Dinamarca,V000007120
M000002004,Materiales de construccion,36443,177,Espana,V000006515
M000002005,Maquinaria industrial pesada,13760,60,Islas Marshall,V000009365
M000002006,Cafe de exportacion,26864,177,Reino Unido,V000003663
M000002007,Maquinaria industrial pesada,17795,154,Malta,V000000363
M000002008,Productos textiles y confecciones,19763,49,Panama,V000008551
M000002009,Materiales de construccion,10018,8,Japon,V000008258
M000002010,Materiales de construccion,4579,157,Mexico,V000001904
M000002011,Maquinaria industrial pesada,34235,142,Espana,V000002662
M000002012,Maquinaria industrial pesada,19225,77,Chile,V000001304
M000002013,Materiales de construccion,17548,81,Chile,V000006370
M000002014,Carga de granel de trigo,36229,76,Espana,V000008565
M000002015,Productos quimicos no peligrosos,8587,182,Bahamas,V000005964
M000002016,Carga de granel de trigo,40436,10,Colombia,V000003537
M000002017,Acero laminado en bobinas,947,27,Reino Unido,V000003340
M000002018,Carga de granel de trigo,36110,74,Japon,V000008214
M000002019,Carga de granel de trigo,15741,163,Ecuador,V000008806
M000002020,Piezas de repuesto automotrices,48775,186,Dinamarca,V000001545
M000002021,Piezas de repuesto automotrices,6546,20,Japon,V000008575
M000002022,Contenedor con productos electronicos,22428,185,China,V000004965
M000002023,Productos textiles y confecciones,22948,163,Brasil,V000000312
M000002024,Frutas y alimentos refrigerados,620,173,Malta,V000001629
M000002025,Piezas de repuesto automotrices,2323,50,Estados Unidos,V000005330
M000002026,Frutas y alimentos refrigerados,25625,198,Mexico,V000005694
M000002027,Cafe de exportacion,15875,117,Chile,V000005375
M000002028,Frutas y alimentos refrigerados,21650,38,Dinamarca,V000006836
M000002029,Maquinaria industrial pesada,9276,7,Panama,V000003508
M000002030,Productos quimicos no peligrosos,22958,76,Chile,V000004307
M000002031,Productos textiles y confecciones,24698,69,Grecia,V000000317
M000002032,Productos textiles y confecciones,18089,157,Dinamarca,V000004502
M000002033,Piezas de repuesto automotrices,16002,18,Espana,V000000856
M000002034,Materiales de construccion,3852,36,Hong Kong,V000008495
M000002035,Carga de granel de trigo,11576,16,Hong Kong,V000005452
M000002036,Carga de granel de trigo,25921,187,Japon,V000003723
M000002037,Productos quimicos no peligrosos,31035,87,Colombia,V000005468
M000002038,Maquinaria industrial pesada,31887,145,Estados Unidos,V000003604
M000002039,Productos textiles y confecciones,18290,54,Hong Kong,V000009430
M000002040,Cafe de exportacion,14238,54,Singapur,V000009687
M000002041,Productos quimicos no peligrosos,28908,6,Liberia,V000000065
M000002042,Frutas y alimentos refrigerados,17905,68,Liberia,V000005225
M000002043,Piezas de repuesto automotrices,29557,27,Mexico,V000003122
M000002044,Cafe de exportacion,21036,117,Dinamarca,V000000873
M000002045,Contenedor con productos electronicos,46128,57,Noruega,V000005137
M000002046,Piezas de repuesto automotrices,14227,180,Ecuador,V000002902
M000002047,Productos quimicos no peligrosos,46055,1,Alemania,V000004136
M000002048,Acero laminado en bobinas,13205,190,Mexico,V000004629
M000002049,Frutas y alimentos refrigerados,15466,104,Bahamas,V000005466
M000002050,Maquinaria industrial pesada,7317,171,Espana,V000002380
M000002051,Acero laminado en bobinas,29816,164,Chile,V000007533
M000002052,Frutas y alimentos refrigerados,22419,37,Chile,V000008473
M000002053,Maquinaria industrial pesada,9731,154,Noruega,V000008759
M000002054,Cafe de exportacion,29653,33,Colombia,V000009752
M000002055,Acero laminado en bobinas,31403,176,Chile,V000004963
M000002056,Contenedor con productos electronicos,28047,91,Islas Marshall,V000005323
M000002057,Materiales de construccion,48046,5,Alemania,V000002874
M000002058,Productos textiles y confecciones,31008,179,Alemania,V000006933
M000002059,Contenedor con productos electronicos,39347,38,Ecuador,V000009463
M000002060,Carga de granel de trigo,16456,57,Reino Unido,V000007304
M000002061,Materiales de construccion,40817,38,Chile,V000002255
M000002062,Materiales de construccion,44501,50,Espana,V000000395
M000002063,Maquinaria industrial pesada,41654,179,Islas Marshall,V000002823
M000002064,Carga de granel de trigo,5747,5,Islas Marshall,V000005650
M000002065,Frutas y alimentos refrigerados,12652,82,Mexico,V000003253
M000002066,Carga de granel de trigo,48012,64,Panama,V000005338
M000002067,Productos textiles y confecciones,30865,64,Panama,V000005497
M000002068,Materiales de construccion,15669,145,Estados Unidos,V000005307
M000002069,Productos quimicos no peligrosos,36250,32,Dinamarca,V000003156
M000002070,Piezas de repuesto automotrices,39345,109,Espana,V000004445
M000002071,Maquinaria industrial pesada,8423,56,Hong Kong,V000000351
M000002072,Maquinaria industrial pesada,20415,4,Estados Unidos,V000007789
M000002073,Acero laminado en bobinas,41346,89,Panama,V000008293
M000002074,Maquinaria industrial pesada,22083,6,Singapur,V000009255
M000002075,Frutas y alimentos refrigerados,8407,72,Bahamas,V000008488
M000002076,Carga de granel de trigo,1801,84,Dinamarca,V000004367
M000002077,Acero laminado en bobinas,32661,21,Reino Unido,V000000988
M000002078,Acero laminado en bobinas,28279,17,Islas Marshall,V000002763
M000002079,Acero laminado en bobinas,32501,155,Estados Unidos,V000007459
M000002080,Contenedor con productos electronicos,47933,145,Alemania,V000002588
M000002081,Cafe de exportacion,24546,179,China,V000007045
M000002082,Productos textiles y confecciones,24769,28,Colombia,V000007015
M000002083,Contenedor con productos electronicos,3838,171,China,V000001097
M000002084,Cafe de exportacion,10610,76,Chile,V000004262
M000002085,Productos textiles y confecciones,47892,131,Estados Unidos,V000001078
M000002086,Contenedor con productos electronicos,19306,129,Malta,V000003432
M000002087,Contenedor con productos electronicos,22528,197,Mexico,V000007868
M000002088,Frutas y alimentos refrigerados,43513,19,Noruega,V000001975
M000002089,Materiales de construccion,39120,72,Alemania,V000003663
M000002090,Contenedor con productos electronicos,43361,136,Bahamas,V000001773
M000002091,Carga de granel de trigo,31517,66,Alemania,V000002716
M000002092,Cafe de exportacion,32523,48,Espana,V000004071
M000002093,Cafe de exportacion,27932,149,Japon,V000002497
M000002094,Acero laminado en bobinas,44750,182,Japon,V000002983
M000002095,Carga de granel de trigo,12301,152,Malta,V000009844
M000002096,Carga de granel de trigo,27548,165,Mexico,V000006492
M000002097,Frutas y alimentos refrigerados,42707,69,Dinamarca,V000006038
M000002098,Acero laminado en bobinas,7269,174,Espana,V000001910
M000002099,Productos quimicos no peligrosos,11776,160,Grecia,V000001902
M000002100,Acero laminado en bobinas,40581,113,Chile,V000000570
M000002101,Carga de granel de trigo,6561,195,Alemania,V000008946
M000002102,Contenedor con productos electronicos,29206,172,Dinamarca,V000005970
M000002103,Cafe de exportacion,14401,195,Brasil,V000004697
M000002104,Productos textiles y confecciones,7908,41,Singapur,V000002502
M000002105,Cafe de exportacion,8286,25,China,V000008538
M000002106,Acero laminado en bobinas,2006,39,Espana,V000000324
M000002107,Acero laminado en bobinas,31963,16,Alemania,V000003528
M000002108,Carga de granel de trigo,28118,66,Grecia,V000003555
M000002109,Cafe de exportacion,35779,106,Grecia,V000007173
M000002110,Frutas y alimentos refrigerados,15986,77,Peru,V000001550
M000002111,Productos quimicos no peligrosos,36895,61,Chile,V000008196
M000002112,Acero laminado en bobinas,22018,74,Hong Kong,V000002331
M000002113,Carga de granel de trigo,32179,171,Reino Unido,V000008530
M000002114,Contenedor con productos electronicos,44441,46,Peru,V000000110
M000002115,Cafe de exportacion,11591,159,Reino Unido,V000003874
M000002116,Productos textiles y confecciones,27846,142,Chile,V000008875
M000002117,Cafe de exportacion,32765,83,Brasil,V000000945
M000002118,Piezas de repuesto automotrices,11137,106,Hong Kong,V000005733
M000002119,Frutas y alimentos refrigerados,2404,2,Brasil,V000002554
M000002120,Materiales de construccion,32459,194,Liberia,V000007632
M000002121,Piezas de repuesto automotrices,37447,48,Japon,V000000269
M000002122,Carga de granel de trigo,38314,123,Reino Unido,V000008666
M000002123,Productos quimicos no peligrosos,26589,159,Japon,V000003598
M000002124,Productos textiles y confecciones,14296,129,Dinamarca,V000005935
M000002125,Frutas y alimentos refrigerados,30863,149,Grecia,V000004807
M000002126,Productos textiles y confecciones,12412,85,Ecuador,V000006304
M000002127,Productos quimicos no peligrosos,18684,146,Dinamarca,V000005540
M000002128,Productos quimicos no peligrosos,28808,97,Bahamas,V000001436
M000002129,Maquinaria industrial pesada,32862,122,Hong Kong,V000005405
M000002130,Contenedor con productos electronicos,17817,76,Bahamas,V000008640
M000002131,Acero laminado en bobinas,7886,58,Liberia,V000009589
M000002132,Carga de granel de trigo,25868,1,Ecuador,V000003528
M000002133,Materiales de construccion,36947,79,Grecia,V000001452
M000002134,Carga de granel de trigo,33218,14,Grecia,V000006669
M000002135,Materiales de construccion,31448,145,Grecia,V000003617
M000002136,Maquinaria industrial pesada,29382,141,Ecuador,V000006534
M000002137,Productos textiles y confecciones,15442,147,Grecia,V000004220
M000002138,Materiales de construccion,12943,122,Alemania,V000005022
M000002139,Contenedor con productos electronicos,25136,76,Brasil,V000007127
M000002140,Acero laminado en bobinas,31973,127,Estados Unidos,V000006794
M000002141,Maquinaria industrial pesada,22617,191,Peru,V000005251
M000002142,Materiales de construccion,30801,146,China,V000004425
M000002143,Cafe de exportacion,46748,21,Hong Kong,V000001880
M000002144,Productos textiles y confecciones,6605,94,Singapur,V000003851
M000002145,Maquinaria industrial pesada,36893,144,Espana,V000007742
M000002146,Contenedor con productos electronicos,22628,14,Hong Kong,V000003334
M000002147,Maquinaria industrial pesada,31347,39,Singapur,V000007320
M000002148,Maquinaria industrial pesada,37821,128,Espana,V000002319
M000002149,Contenedor con productos electronicos,21039,58,Grecia,V000002267
M000002150,Cafe de exportacion,30223,159,Reino Unido,V000004379
M000002151,Contenedor con productos electronicos,20160,104,Chile,V000006655
M000002152,Maquinaria industrial pesada,35013,61,Singapur,V000007454
M000002153,Piezas de repuesto automotrices,39548,89,Chile,V000004669
M000002154,Carga de granel de trigo,34309,69,Reino Unido,V000008664
M000002155,Frutas y alimentos refrigerados,3518,184,Estados Unidos,V000006232
M000002156,Productos textiles y confecciones,14698,89,Peru,V000002315
M000002157,Piezas de repuesto automotrices,27343,18,Brasil,V000003228
M000002158,Cafe de exportacion,18830,70,Panama,V000006520
M000002159,Contenedor con productos electronicos,11375,107,Grecia,V000004263
M000002160,Cafe de exportacion,40047,87,Mexico,V000009579
M000002161,Productos textiles y confecciones,39076,118,Malta,V000009264
M000002162,Piezas de repuesto automotrices,37797,183,Espana,V000008145
M000002163,Piezas de repuesto automotrices,27667,62,Panama,V000001083
M000002164,Cafe de exportacion,2840,49,Colombia,V000003614
M000002165,Carga de granel de trigo,1957,168,Colombia,V000006321
M000002166,Productos textiles y confecciones,15110,3,Liberia,V000001559
M000002167,Carga de granel de trigo,22238,85,Singapur,V000008605
M000002168,Materiales de construccion,43842,27,Ecuador,V000004738
M000002169,Piezas de repuesto automotrices,39492,193,Chile,V000004565
M000002170,Frutas y alimentos refrigerados,8763,98,Estados Unidos,V000008170
M000002171,Contenedor con productos electronicos,25008,193,Peru,V000007894
M000002172,Cafe de exportacion,6277,146,Hong Kong,V000008136
M000002173,Frutas y alimentos refrigerados,4258,29,Ecuador,V000001036
M000002174,Materiales de construccion,32240,72,Espana,V000001944
M000002175,Carga de granel de trigo,30920,159,Dinamarca,V000002047
M000002176,Maquinaria industrial pesada,7979,180,Noruega,V000002396
M000002177,Productos quimicos no peligrosos,11351,2,Noruega,V000007717
M000002178,Acero laminado en bobinas,40481,122,Mexico,V000001913
M000002179,Maquinaria industrial pesada,14014,159,Liberia,V000005955
M000002180,Carga de granel de trigo,9833,86,Islas Marshall,V000005147
M000002181,Materiales de construccion,2033,99,Brasil,V000000869
M000002182,Productos quimicos no peligrosos,20022,117,Liberia,V000005067
M000002183,Carga de granel de trigo,10866,49,Colombia,V000007340
M000002184,Carga de granel de trigo,48205,57,Colombia,V000002726
M000002185,Acero laminado en bobinas,45100,76,Alemania,V000003623
M000002186,Piezas de repuesto automotrices,27020,77,Peru,V000009463
M000002187,Piezas de repuesto automotrices,10965,190,Chile,V000007982
M000002188,Productos quimicos no peligrosos,16589,68,Reino Unido,V000006920
M000002189,Materiales de construccion,2597,7,China,V000002202
M000002190,Cafe de exportacion,18541,117,Japon,V000002972
M000002191,Contenedor con productos electronicos,24440,56,Panama,V000008465
M000002192,Maquinaria industrial pesada,27360,38,Liberia,V000005147
M000002193,Piezas de repuesto automotrices,12670,111,Noruega,V000002579
M000002194,Contenedor con productos electronicos,9639,183,Estados Unidos,V000002375
M000002195,Cafe de exportacion,19632,73,Japon,V000007766
M000002196,Frutas y alimentos refrigerados,5843,43,Reino Unido,V000007326
M000002197,Cafe de exportacion,29345,97,China,V000008132
M000002198,Carga de granel de trigo,26445,161,Estados Unidos,V000009578
M000002199,Frutas y alimentos refrigerados,27225,126,Dinamarca,V000006297
M000002200,Cafe de exportacion,28502,50,Islas Marshall,V000000915
